Wall time,Step,Value
1615731578.636292,2349,0.8337053656578064
1615731578.707378,2353,1.0766056776046753
1615731578.7456896,2355,0.7897552251815796
1615731578.9866304,2368,1.1929627656936646
1615731579.20504,2380,0.7616158127784729
1615731579.4230359,2392,0.8460966348648071
1615731579.4411316,2393,1.0167135000228882
1615731579.4594862,2394,0.8788622617721558
1615731588.1589594,2402,0.7892839908599854
1615731588.2699125,2408,0.9692873358726501
1615731588.5898857,2425,0.9296255707740784
1615731588.6995363,2431,0.9641714692115784
1615731588.7170012,2432,0.7032555937767029
1615731588.8612843,2440,0.8587853312492371
1615731588.9694629,2446,0.6779133677482605
1615731589.0805583,2452,1.0200862884521484
1615731589.1717503,2457,0.5644506812095642
1615731589.589408,2480,0.6939882040023804
1615731589.6301172,2482,0.7851235270500183
1615731589.7451103,2487,0.7845466732978821
1615731589.8352206,2492,1.0934809446334839
1615731598.6934872,2505,0.8479001522064209
1615731598.8272262,2512,0.7153222560882568
1615731599.0992653,2527,0.9514226317405701
1615731599.3242984,2539,0.8090481162071228
1615731599.3776574,2542,0.9457497000694275
1615731599.6321185,2556,0.7582461833953857
1615731599.6502473,2557,0.8586260676383972
1615731599.6871722,2559,0.9079915285110474
1615731600.2757022,2591,0.9462352991104126
1615731600.2958188,2592,0.738535463809967
1615731600.316021,2593,0.880369246006012
1615731600.4458315,2600,0.8591511845588684
1615731609.115757,2611,0.9209586977958679
1615731609.3951337,2626,0.8364680409431458
1615731609.447956,2629,0.8358152508735657
1615731609.483914,2631,0.8925601840019226
1615731610.0365398,2661,0.6585477590560913
1615731610.2544775,2673,0.808510422706604
1615731610.2725034,2674,0.9985631108283997
1615731610.4343224,2683,0.9141254425048828
1615731610.598033,2692,0.8205551505088806
1615731610.711527,2698,1.0712698698043823
1615731619.8957746,2702,0.6501786708831787
1615731620.2295058,2719,0.8538850545883179
1615731620.2664647,2721,0.7553896903991699
1615731620.284475,2722,0.5925788283348083
1615731620.3043811,2723,0.7318615913391113
1615731620.5722725,2734,0.8631575107574463
1615731620.9317946,2752,0.7942018508911133
1615731621.2529645,2769,0.8241616487503052
1615731621.4007394,2776,0.7735901474952698
1615731621.4216862,2777,0.8233530521392822
1615731621.8758936,2800,0.9195272922515869
1615731630.9447947,2807,0.756746768951416
1615731630.9822245,2809,0.7760379910469055
1615731631.018954,2811,0.7212762236595154
1615731631.0616574,2813,0.612565279006958
1615731631.1372683,2817,0.8623254895210266
1615731631.1553326,2818,0.8825820088386536
1615731631.3786447,2829,0.6590925455093384
1615731631.4334671,2832,0.8014668822288513
1615731631.577662,2840,0.7679805755615234
1615731631.6347709,2843,0.9091538786888123
1615731631.796676,2852,0.8015808463096619
1615731641.344053,2801,0.7900821566581726
1615731641.417735,2805,0.7650801539421082
1615731641.4547148,2807,0.6979940533638
1615731641.7614014,2822,0.758475124835968
1615731642.0427728,2835,0.6696052551269531
1615731642.473359,2858,0.9385321736335754
1615731642.7757883,2873,0.6729192137718201
1615731642.793772,2874,0.8151105046272278
1615731642.9227655,2881,0.7533506155014038
1615731643.0288908,2886,0.626173734664917
1615731643.1503453,2891,0.7854412198066711
1615731643.226542,2895,0.6826149225234985
1615731643.2635345,2897,0.6088528633117676
1615731652.4029944,2913,0.6786346435546875
1615731652.6250618,2924,0.7526058554649353
1615731652.753974,2931,1.1632426977157593
1615731652.7719555,2932,0.6221331357955933
1615731652.896386,2939,0.879720151424408
1615731652.9517386,2942,0.7637959122657776
1615731653.3855693,2966,0.6191135048866272
1615731653.4386988,2969,0.6156794428825378
